XCoord,YCoord,OBJECTID,XCOORD,YCOORD
-95.46801698,29.50435220,2149,-95.468017,29.504352
-95.45131474,29.50435220,2150,-95.451315,29.504352
-95.43461250,29.50435220,2151,-95.434613,29.504352
-95.41791026,29.50435220,2152,-95.417910,29.504352
-95.40120802,29.50435220,2153,-95.401208,29.504352
-95.28429236,29.50435220,2154,-95.284292,29.504352
-95.20078117,29.50435220,2155,-95.200781,29.504352
-95.18407893,29.50435220,2156,-95.184079,29.504352
-95.16737669,29.50435220,2157,-95.167377,29.504352
-95.15067445,29.50435220,2158,-95.150674,29.504352
-95.13397221,29.50435220,2159,-95.133972,29.504352
-95.11726998,29.50435220,2160,-95.117270,29.504352
-95.10056774,29.50435220,2161,-95.100568,29.504352
-95.08386550,29.50435220,2162,-95.083866,29.504352
-95.06716326,29.50435220,2163,-95.067163,29.504352
-95.05046102,29.50435220,2164,-95.050461,29.504352
-95.03375879,29.50435220,2165,-95.033759,29.504352
-95.01705655,29.50435220,2166,-95.017057,29.504352
-94.98365207,29.50435220,2167,-94.983652,29.504352
-94.96694983,29.50435220,2168,-94.966950,29.504352
-94.95024760,29.50435220,2169,-94.950248,29.504352
